""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.902333 ± 0.093522"	"3.901880 ± 0.093139"	"3.898921 ± 0.099015"	"3.897056 ± 0.101777"	"3.884102 ± 0.084545"	"3.866135 ± 0.085431"	"3.833598 ± 0.084640"	"3.777921 ± 0.079198"	"3.654876 ± 0.063140"	"3.442905 ± 0.047314"	"2.990365 ± 0.032854"	"2.761919 ± 0.029110"	"2.943090 ± 0.024676"	"3.452431 ± 0.044367"	"3.830058 ± 0.086872"	"3.901238 ± 0.095675"
"0.1"	""	""	"2.762159 ± 0.052734"	"2.196028 ± 0.031710"	"1.565743 ± 0.020176"	"1.604553 ± 0.020263"	"2.195429 ± 0.027347"	"2.159781 ± 0.021001"	"2.101105 ± 0.021662"	"2.130686 ± 0.020032"	"1.974147 ± 0.017995"	"2.092468 ± 0.019199"	"2.184357 ± 0.019347"	"2.107900 ± 0.019040"	"2.239286 ± 0.019955"	"2.461207 ± 0.019865"	"2.542164 ± 0.020635"	"2.558472 ± 0.021294"	"2.616323 ± 0.022651"	"2.620473 ± 0.018789"	"2.642851 ± 0.019302"	"2.645259 ± 0.022640"	"2.613854 ± 0.022182"	"2.575155 ± 0.020679"	"2.507435 ± 0.020074"	"2.484530 ± 0.019905"	"2.464488 ± 0.023074"	"2.468548 ± 0.022960"	"2.491459 ± 0.026080"	"2.979130 ± 0.028821"	"3.755853 ± 0.074288"	""	""
"0.2"	""	"3.847675 ± 0.103001"	"1.729339 ± 0.022753"	"0.036956 ± 0.010757"	"-0.000000 ± 0.010810"	"0.325116 ± 0.012263"	"0.365066 ± 0.011497"	"0.495309 ± 0.011568"	"0.894923 ± 0.012772"	"1.114311 ± 0.014911"	"1.229615 ± 0.013253"	"1.567931 ± 0.014636"	"1.887915 ± 0.016623"	"2.030911 ± 0.016588"	"2.142237 ± 0.016033"	"2.163738 ± 0.018020"	"2.478603 ± 0.020023"	"2.826710 ± 0.025493"	"2.961287 ± 0.028393"	"3.067416 ± 0.029269"	"3.176883 ± 0.033414"	"3.179137 ± 0.033095"	"3.168815 ± 0.038672"	"3.224745 ± 0.038243"	"3.320465 ± 0.037620"	"3.429641 ± 0.046549"	"3.614526 ± 0.068524"	"3.756917 ± 0.074682"	"3.863877 ± 0.099791"	""	""	""	""
"0.3"	""	""	"1.760397 ± 0.020740"	"0.200143 ± 0.010638"	"0.381328 ± 0.010596"	"0.471029 ± 0.010615"	"0.554606 ± 0.009766"	"0.650109 ± 0.010579"	"0.931263 ± 0.011802"	"1.166341 ± 0.011876"	"1.460080 ± 0.012242"	"1.722697 ± 0.013249"	"1.799431 ± 0.014360"	"1.743947 ± 0.014791"	"1.611211 ± 0.014131"	"1.513595 ± 0.014973"	"1.904938 ± 0.016261"	"2.570915 ± 0.019620"	"3.419185 ± 0.046700"	"3.772879 ± 0.088177"	"3.762595 ± 0.070581"	"3.774299 ± 0.080154"	"3.777716 ± 0.080879"	"3.808259 ± 0.084095"	"3.870144 ± 0.093903"	"3.890245 ± 0.100373"	"3.901230 ± 0.090040"	""	""	""	""	""	""
"0.4"	""	"3.796880 ± 0.091569"	"1.035591 ± 0.015637"	"0.280504 ± 0.012127"	"0.408235 ± 0.011419"	"0.618155 ± 0.012535"	"0.442695 ± 0.011256"	"0.485253 ± 0.011739"	"0.789814 ± 0.012810"	"1.210683 ± 0.014491"	"1.560343 ± 0.015025"	"1.883527 ± 0.014579"	"2.138694 ± 0.015700"	"2.435444 ± 0.018334"	"2.836725 ± 0.024111"	"3.282167 ± 0.035723"	"3.672785 ± 0.073158"	"3.840874 ± 0.080921"	"3.892899 ± 0.092447"	"3.888730 ± 0.099925"	"3.900049 ± 0.084113"	"3.899334 ± 0.093634"	"3.893816 ± 0.099953"	"3.899643 ± 0.096631"	"3.900311 ± 0.082723"	""	""	""	""	""	""	""	""
"0.5"	""	"3.613414 ± 0.079421"	"0.513958 ± 0.014058"	"0.361213 ± 0.012321"	"0.713052 ± 0.013673"	"0.763830 ± 0.013471"	"0.376930 ± 0.011841"	"0.427644 ± 0.011862"	"0.755803 ± 0.012288"	"1.102549 ± 0.013856"	"1.814648 ± 0.016160"	"2.479765 ± 0.021981"	"2.904050 ± 0.028125"	"3.406868 ± 0.049956"	"3.668575 ± 0.067059"	"3.826190 ± 0.090350"	"3.854961 ± 0.091540"	"3.886564 ± 0.099264"	"3.898824 ± 0.100021"	"3.902116 ± 0.102646"	"3.902727 ± 0.090733"	""	""	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"2.507971 ± 0.028993"	"1.570979 ± 0.016959"	"1.548652 ± 0.015607"	"1.154504 ± 0.015209"	"1.067971 ± 0.014236"	"1.217526 ± 0.015168"	"1.570594 ± 0.015631"	"1.947413 ± 0.016458"	"2.380535 ± 0.022311"	"2.557803 ± 0.022240"	"2.660055 ± 0.022954"	"2.947314 ± 0.031949"	"3.238216 ± 0.038234"	"3.501906 ± 0.053738"	"3.653146 ± 0.061223"	"3.766061 ± 0.073442"	"3.872669 ± 0.098661"	"3.900658 ± 0.088710"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	"3.520123 ± 0.054189"	"2.739709 ± 0.025485"	"2.263050 ± 0.019382"	"1.251089 ± 0.015941"	"0.620048 ± 0.015711"	"1.042256 ± 0.015332"	"1.700014 ± 0.017203"	"2.123214 ± 0.020205"	"2.337185 ± 0.021443"	"2.408769 ± 0.024391"	"2.250593 ± 0.022017"	"2.556340 ± 0.023423"	"2.964208 ± 0.031861"	"3.062028 ± 0.030025"	"3.472011 ± 0.056601"	"3.774580 ± 0.092643"	"3.896727 ± 0.092693"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	"3.902245 ± 0.081478"	"3.897564 ± 0.097190"	"3.817343 ± 0.086415"	"3.527410 ± 0.059615"	"3.187383 ± 0.039315"	"2.987987 ± 0.046238"	"3.246354 ± 0.041459"	"3.605502 ± 0.065533"	"3.787639 ± 0.081672"	"3.742563 ± 0.072997"	"3.363131 ± 0.052354"	"2.200945 ± 0.022280"	"1.436933 ± 0.018750"	"2.744376 ± 0.029079"	"3.805252 ± 0.088964"	"3.902630 ± 0.083407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	"3.902662 ± 0.095678"	"3.891842 ± 0.092695"	"3.699843 ± 0.069788"	"3.778224 ± 0.076883"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
