33.0	0.0	5.357261
32.0	0.0	5.315002
31.0	0.0	5.127898
30.0	0.1	4.854796
29.0	0.1	4.522538
28.0	0.1	4.446216
27.0	0.1	4.391791
26.0	0.1	4.445942
25.0	0.1	4.485474
24.0	0.1	4.497074
23.0	0.1	4.550812
22.0	0.1	4.565742
21.0	0.1	4.571092
20.0	0.1	4.597414
19.0	0.1	4.64121
18.0	0.1	4.692477
17.0	0.1	4.730942
16.0	0.1	4.767213
15.0	0.1	4.512627
14.0	0.1	4.331531
13.0	0.2	4.21457
12.0	0.2	3.900819
11.0	0.2	3.61335
10.0	0.2	3.530475
9.0	0.2	3.430288
8.0	0.2	3.146238
7.0	0.2	2.908694
6.0	0.2	3.026682
5.0	0.3	3.110095
4.0	0.3	2.748029
3.0	0.3	3.069479
4.0	0.4	3.13671
5.0	0.4	3.124781
4.0	0.5	3.262886
5.0	0.5	3.296023
6.0	0.4	3.624971
6.0	0.3	3.407639
5.0	0.2	3.489039
4.0	0.2	3.275089
3.0	0.2	3.344681
4.0	0.1	5.204008
5.0	0.1	4.959728
6.0	0.1	4.919783
7.0	0.1	4.806645
8.0	0.1	4.660635
9.0	0.1	4.509762
10.0	0.1	4.327221
11.0	0.1	4.205465
12.0	0.1	4.334593
13.0	0.1	4.404753
14.0	0.2	4.366026
15.0	0.2	4.621998
16.0	0.2	4.896334
17.0	0.2	4.914569
18.0	0.2	4.913888
19.0	0.2	4.918405
20.0	0.2	4.928434
21.0	0.2	4.951735
22.0	0.2	4.960023
23.0	0.2	4.97095
24.0	0.2	4.97753
25.0	0.2	5.018077
26.0	0.2	5.093773
27.0	0.2	5.185732
28.0	0.2	5.284351
27.0	0.3	5.354763
26.0	0.3	5.346988
25.0	0.3	5.320151
24.0	0.3	5.302744
23.0	0.3	5.297964
22.0	0.3	5.293327
21.0	0.3	5.302702
20.0	0.3	5.299186
19.0	0.3	5.289978
18.0	0.3	5.288922
17.0	0.3	5.302026
16.0	0.4	5.297426
15.0	0.5	4.925365
14.0	0.6	4.483932
15.0	0.7	2.352884
15.0	0.8	0.0
