""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.902333 Â ± 0.114453"	"3.901880 Â ± 0.085315"	"3.898921 Â ± 0.103711"	"3.897056 Â ± 0.092899"	"3.884102 Â ± 0.126745"	"3.866135 Â ± 0.085931"	"3.833598 Â ± 0.102993"	"3.777921 Â ± 0.080562"	"3.654876 Â ± 0.058749"	"3.442905 Â ± 0.040716"	"2.990365 Â ± 0.029494"	"2.761919 Â ± 0.033962"	"2.943090 Â ± 0.025724"	"3.452431 Â ± 0.052141"	"3.830058 Â ± 0.078529"	"3.901238 Â ± 0.095728"
"0.1"	""	""	"2.762159 Â ± 0.057924"	"2.196028 Â ± 0.018815"	"1.565743 Â ± 0.022836"	"1.604553 Â ± 0.017638"	"2.195429 Â ± 0.028690"	"2.159781 Â ± 0.025072"	"2.101105 Â ± 0.025899"	"2.130686 Â ± 0.024074"	"1.974147 Â ± 0.014737"	"2.092468 Â ± 0.015794"	"2.184357 Â ± 0.012919"	"2.107900 Â ± 0.029358"	"2.239286 Â ± 0.025957"	"2.461207 Â ± 0.024492"	"2.542164 Â ± 0.028092"	"2.558472 Â ± 0.016116"	"2.616323 Â ± 0.027282"	"2.620473 Â ± 0.012253"	"2.642851 Â ± 0.020500"	"2.645259 Â ± 0.016728"	"2.613854 Â ± 0.014328"	"2.575155 Â ± 0.018822"	"2.507435 Â ± 0.022313"	"2.484530 Â ± 0.018732"	"2.464488 Â ± 0.029128"	"2.468548 Â ± 0.021297"	"2.491459 Â ± 0.027460"	"2.979130 Â ± 0.027189"	"3.755853 Â ± 0.048104"	""	""
"0.2"	""	"3.847675 Â ± 0.120758"	"1.729339 Â ± 0.017578"	"0.036956 Â ± 0.010482"	"-0.000000 Â ± 0.009658"	"0.325116 Â ± 0.012939"	"0.365066 Â ± 0.010428"	"0.495309 Â ± 0.012275"	"0.894923 Â ± 0.011462"	"1.114311 Â ± 0.010867"	"1.229615 Â ± 0.016216"	"1.567931 Â ± 0.010387"	"1.887915 Â ± 0.015053"	"2.030911 Â ± 0.015734"	"2.142237 Â ± 0.010224"	"2.163738 Â ± 0.021898"	"2.478603 Â ± 0.013872"	"2.826710 Â ± 0.034722"	"2.961287 Â ± 0.022423"	"3.067416 Â ± 0.037204"	"3.176883 Â ± 0.034668"	"3.179137 Â ± 0.031011"	"3.168815 Â ± 0.021003"	"3.224745 Â ± 0.039980"	"3.320465 Â ± 0.028768"	"3.429641 Â ± 0.073191"	"3.614526 Â ± 0.080348"	"3.756917 Â ± 0.069084"	"3.863877 Â ± 0.094240"	""	""	""	""
"0.3"	""	""	"1.760397 Â ± 0.015523"	"0.200143 Â ± 0.011003"	"0.381328 Â ± 0.009329"	"0.471029 Â ± 0.009693"	"0.554606 Â ± 0.009085"	"0.650109 Â ± 0.008724"	"0.931263 Â ± 0.011611"	"1.166341 Â ± 0.009984"	"1.460080 Â ± 0.010668"	"1.722697 Â ± 0.012706"	"1.799431 Â ± 0.010917"	"1.743947 Â ± 0.012913"	"1.611211 Â ± 0.016132"	"1.513595 Â ± 0.018307"	"1.904938 Â ± 0.018350"	"2.570915 Â ± 0.016167"	"3.419185 Â ± 0.045636"	"3.772879 Â ± 0.066832"	"3.762595 Â ± 0.086976"	"3.774299 Â ± 0.090540"	"3.777716 Â ± 0.055693"	"3.808259 Â ± 0.078910"	"3.870144 Â ± 0.080975"	"3.890245 Â ± 0.089050"	"3.901230 Â ± 0.127505"	""	""	""	""	""	""
"0.4"	""	"3.796880 Â ± 0.103456"	"1.035591 Â ± 0.012276"	"0.280504 Â ± 0.009321"	"0.408235 Â ± 0.010847"	"0.618155 Â ± 0.009911"	"0.442695 Â ± 0.008698"	"0.485253 Â ± 0.009532"	"0.789814 Â ± 0.011142"	"1.210683 Â ± 0.011933"	"1.560343 Â ± 0.015491"	"1.883527 Â ± 0.020870"	"2.138694 Â ± 0.019735"	"2.435444 Â ± 0.024444"	"2.836725 Â ± 0.039616"	"3.282167 Â ± 0.052212"	"3.672785 Â ± 0.108171"	"3.840874 Â ± 0.059754"	"3.892899 Â ± 0.183471"	"3.888730 Â ± 0.107789"	"3.900049 Â ± 0.070091"	"3.899334 Â ± 0.081938"	"3.893816 Â ± 0.090925"	"3.899643 Â ± 0.079752"	"3.900311 Â ± 0.085445"	""	""	""	""	""	""	""	""
"0.5"	""	"3.613414 Â ± 0.071695"	"0.513958 Â ± 0.014145"	"0.361213 Â ± 0.012193"	"0.713052 Â ± 0.009973"	"0.763830 Â ± 0.011095"	"0.376930 Â ± 0.011143"	"0.427644 Â ± 0.009578"	"0.755803 Â ± 0.013435"	"1.102549 Â ± 0.016524"	"1.814648 Â ± 0.013833"	"2.479765 Â ± 0.020923"	"2.904050 Â ± 0.042783"	"3.406868 Â ± 0.062361"	"3.668575 Â ± 0.055411"	"3.826190 Â ± 0.095774"	"3.854961 Â ± 0.091124"	"3.886564 Â ± 0.084871"	"3.898824 Â ± 0.089756"	"3.902116 Â ± 0.111715"	"3.902727 Â ± 0.088756"	""	""	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"2.507971 Â ± 0.017608"	"1.570979 Â ± 0.020055"	"1.548652 Â ± 0.018709"	"1.154504 Â ± 0.014604"	"1.067971 Â ± 0.015203"	"1.217526 Â ± 0.013139"	"1.570594 Â ± 0.018630"	"1.947413 Â ± 0.022053"	"2.380535 Â ± 0.029373"	"2.557803 Â ± 0.024436"	"2.660055 Â ± 0.020096"	"2.947314 Â ± 0.039876"	"3.238216 Â ± 0.036125"	"3.501906 Â ± 0.064021"	"3.653146 Â ± 0.062119"	"3.766061 Â ± 0.062487"	"3.872669 Â ± 0.100867"	"3.900658 Â ± 0.093830"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	"3.520123 Â ± 0.030880"	"2.739709 Â ± 0.017865"	"2.263050 Â ± 0.024394"	"1.251089 Â ± 0.015808"	"0.620048 Â ± 0.012859"	"1.042256 Â ± 0.014072"	"1.700014 Â ± 0.016500"	"2.123214 Â ± 0.016368"	"2.337185 Â ± 0.022405"	"2.408769 Â ± 0.028341"	"2.250593 Â ± 0.014705"	"2.556340 Â ± 0.026411"	"2.964208 Â ± 0.031469"	"3.062028 Â ± 0.032136"	"3.472011 Â ± 0.047289"	"3.774580 Â ± 0.080046"	"3.896727 Â ± 0.119646"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	"3.902245 Â ± 0.106293"	"3.897564 Â ± 0.117966"	"3.817343 Â ± 0.116524"	"3.527410 Â ± 0.071202"	"3.187383 Â ± 0.036421"	"2.987987 Â ± 0.042964"	"3.246354 Â ± 0.043239"	"3.605502 Â ± 0.059594"	"3.787639 Â ± 0.094041"	"3.742563 Â ± 0.068233"	"3.363131 Â ± 0.034020"	"2.200945 Â ± 0.023407"	"1.436933 Â ± 0.017273"	"2.744376 Â ± 0.031044"	"3.805252 Â ± 0.079227"	"3.902630 Â ± 0.072664"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	"3.902662 Â ± 0.133293"	"3.891842 Â ± 0.052936"	"3.699843 Â ± 0.071605"	"3.778224 Â ± 0.094881"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
