""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"
"0"	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	4.17567912280853	4.13365553207644	3.21896771377762	3.51449936137954	4.18653240391743	4.17329182970004	4.12327018693041	4.01461685669891	4.16693709033904	4.13064536929785	3.7028117092403	3.99364283791055	4.15858744963178	4.08669524307031	3.49091383577408	4.27080366576896	4.44683246615926
"0.1"	Inf	Inf	4.69124497698933	4.70093794492981	4.80765837635768	4.81633864819704	4.82126508683132	4.70410661461279	4.73489127640997	4.65827207322224	4.6924934483341	4.47938599160836	4.24937390097791	4.39127531591484	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.2"	Inf	Inf	4.66723829479521	4.69163223162737	4.74217385364762	4.8190135877397	4.8227602432163	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.3"	Inf	Inf	4.41865436287347	3.99836657707404	3.64616794428466	3.57530311732426	3.46842704407328	3.21199895449754	3.175437807756	3.21556734801947	2.81132898756059	3.01880398919948	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.4"	Inf	Inf	3.42294359905098	3.51252507725116	3.55189685510077	3.51923175123729	3.53633693218061	3.45913524857036	3.45031923073261	2.43708866867087	2.94675748324373	3.03185232444851	2.55307965355889	1.47291864819374	1.25229502045738	0.895647427476786	0.0768381959492461	0.0179015804969874	0.00602103177384886	0.00182169227028549	0.0468176139013875	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.5"	Inf	Inf	2.11008057301658	2.28098984710866	1.99997105609319	1.87046029734791	1.77065544544121	1.60318208436471	1.28259931046511	1.10651759603325	0.82975661943813	0.727507787239507	0.702059224348888	0.669219258177947	0.00328149661256154	0.00232159839943508	1.41532870926143e-05	0	5.62678297556978e-06	0.00329702940453786	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.6"	Inf	Inf	Inf	Inf	Inf	1.987728977371	2.03007478487076	1.93717148250935	1.70164031122684	1.59156962535453	1.33553546941113	0.0345281631585306	0.00139757908147782	0.000113099024334048	7.10835453523937e-06	7.15392046185699e-05	8.03508192767935e-06	8.8663162418388e-07	0.000243541026609121	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.7"	Inf	Inf	Inf	Inf	Inf	Inf	1.71095540193317	1.7095169180459	1.66254878284431	1.66349918598215	0.122061410560069	6.92659328989935e-05	6.68798111715369e-06	6.12193479026385e-05	2.66626004960642e-06	5.25334256824472e-06	1.61073073783719e-05	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.8"	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	1.10805944841727e-05	0.000263644958513494	0.000736695248592021	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
"0.9"	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
