""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.357316 +- 0.526194"	"5.356061 +- 0.433187"	"5.355453 +- 0.257901"	"5.350783 +- 0.244333"	"5.344969 +- 0.529937"	"5.329188 +- 0.392012"	"5.318039 +- 0.404516"	"5.280403 +- 0.307517"	"5.201871 +- 0.206215"	"5.044391 +- 0.200647"	"4.861100 +- 0.184770"	"4.887180 +- 0.222620"	"5.127898 +- 0.226719"	"5.315002 +- 0.133756"	"5.357261 +- 0.435976"
"0.1"	""	""	""	"5.256000 +- 0.377341"	"5.204008 +- 0.133226"	"4.959728 +- 0.132249"	"4.919783 +- 0.181916"	"4.806645 +- 0.209902"	"4.660635 +- 0.127165"	"4.509762 +- 0.061978"	"4.327221 +- 0.062845"	"4.205465 +- 0.064442"	"4.334593 +- 0.063185"	"4.404753 +- 0.144788"	"4.331531 +- 0.069905"	"4.512627 +- 0.091155"	"4.767213 +- 0.211399"	"4.730942 +- 0.138021"	"4.692477 +- 0.152852"	"4.641210 +- 0.153438"	"4.597414 +- 0.143650"	"4.571092 +- 0.205436"	"4.565742 +- 0.137058"	"4.550812 +- 0.206402"	"4.497074 +- 0.116259"	"4.485474 +- 0.106408"	"4.445942 +- 0.099103"	"4.391791 +- 0.160044"	"4.446216 +- 0.123824"	"4.522538 +- 0.238989"	"4.854796 +- 0.281910"	"5.296792 +- 0.319052"	""	""
"0.2"	""	""	"5.293855 +- 1.130636"	"3.344681 +- 0.065191"	"3.275089 +- 0.069115"	"3.489039 +- 0.063737"	"3.026682 +- 0.068580"	"2.908694 +- 0.069664"	"3.146238 +- 0.073231"	"3.430288 +- 0.067088"	"3.530475 +- 0.073923"	"3.613350 +- 0.060491"	"3.900819 +- 0.085193"	"4.214570 +- 0.083385"	"4.366026 +- 0.073911"	"4.621998 +- 0.063605"	"4.896334 +- 0.108457"	"4.914569 +- 0.122404"	"4.913888 +- 0.219015"	"4.918405 +- 0.266690"	"4.928434 +- 0.187364"	"4.951735 +- 0.191722"	"4.960023 +- 0.321688"	"4.970950 +- 0.098169"	"4.977530 +- 0.243999"	"5.018077 +- 0.188084"	"5.093773 +- 0.287110"	"5.185732 +- 0.253940"	"5.284351 +- 0.238274"	"5.343081 +- 0.201554"	"5.357252 +- 0.427455"	""	""	""
"0.3"	""	""	"5.294539 +- 0.627647"	"3.069479 +- 0.069198"	"2.748029 +- 0.066939"	"3.110095 +- 0.066965"	"3.407639 +- 0.075027"	"3.637238 +- 0.090042"	"4.028498 +- 0.077257"	"4.171438 +- 0.069968"	"4.482413 +- 0.103481"	"4.811496 +- 0.094081"	"4.962403 +- 0.265321"	"5.141659 +- 0.149501"	"5.209472 +- 0.445000"	"5.265516 +- 0.191451"	"5.301561 +- 0.275366"	"5.302026 +- 0.240173"	"5.288922 +- 0.274476"	"5.289978 +- 0.259466"	"5.299186 +- 0.287855"	"5.302702 +- 0.325881"	"5.293327 +- 0.440556"	"5.297964 +- 0.359898"	"5.302744 +- 0.337556"	"5.320151 +- 0.643724"	"5.346988 +- 0.491390"	"5.354763 +- 0.429498"	""	""	""	""	""	""
"0.4"	""	""	"5.350266 +- 0.313940"	"3.307956 +- 0.060270"	"3.136710 +- 0.062647"	"3.124781 +- 0.061407"	"3.624971 +- 0.063726"	"3.769499 +- 0.071426"	"3.982709 +- 0.089096"	"4.280084 +- 0.123158"	"4.432025 +- 0.088823"	"4.858257 +- 0.193169"	"5.165656 +- 0.232938"	"5.223145 +- 0.335086"	"5.242741 +- 0.269508"	"5.279903 +- 0.447918"	"5.297426 +- 0.357997"	"5.312529 +- 0.312957"	"5.325791 +- 0.595246"	"5.340037 +- 0.407203"	"5.335401 +- 0.221582"	"5.335664 +- 0.467741"	"5.341249 +- 0.312881"	"5.345371 +- 0.258599"	"5.355292 +- 0.585239"	"5.357214 +- 0.387933"	""	""	""	""	""	""	""	""
"0.5"	""	""	""	"4.061358 +- 0.097203"	"3.262886 +- 0.066307"	"3.296023 +- 0.063601"	"3.641658 +- 0.065812"	"3.577422 +- 0.061548"	"3.695249 +- 0.080744"	"3.911491 +- 0.098331"	"4.065570 +- 0.141009"	"4.512721 +- 0.085857"	"4.742752 +- 0.328380"	"4.693020 +- 0.245012"	"4.734544 +- 0.121321"	"4.925365 +- 0.173555"	"5.083583 +- 0.312802"	"5.234564 +- 0.260890"	"5.271123 +- 0.286581"	"5.258294 +- 0.194877"	"5.245103 +- 0.227623"	"5.287583 +- 0.292875"	"5.347554 +- 0.772483"	"5.356571 +- 0.168091"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	""	"4.908607 +- 0.259685"	"4.346632 +- 0.097820"	"4.869362 +- 0.131945"	"4.583217 +- 0.124293"	"4.433783 +- 0.146083"	"4.443562 +- 0.120949"	"4.645724 +- 0.080273"	"4.531827 +- 0.146263"	"4.365557 +- 0.156230"	"4.160698 +- 0.115074"	"4.049568 +- 0.131977"	"4.483932 +- 0.098294"	"4.967444 +- 0.173520"	"5.141952 +- 0.266359"	"5.184309 +- 0.173159"	"5.112808 +- 0.159022"	"5.132499 +- 0.298894"	"5.254600 +- 0.218977"	"5.349513 +- 0.390536"	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"5.352778 +- 0.218426"	"4.878240 +- 0.239727"	"4.567314 +- 0.120515"	"3.587221 +- 0.107310"	"3.518179 +- 0.107663"	"3.806160 +- 0.112816"	"4.150532 +- 0.114192"	"4.599525 +- 0.112679"	"5.090443 +- 0.209084"	"4.618684 +- 0.220130"	"4.302472 +- 0.113003"	"3.743592 +- 0.111088"	"2.352884 +- 0.036784"	"2.508670 +- 0.033828"	"4.111638 +- 0.134166"	"5.161887 +- 0.313823"	"5.318978 +- 0.152609"	"5.357229 +- 0.262934"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	"5.349660 +- 0.313259"	"4.998266 +- 0.427139"	"3.718556 +- 0.091734"	"3.285366 +- 0.092577"	"3.660344 +- 0.084493"	"4.413581 +- 0.132855"	"5.078998 +- 0.116761"	"3.614584 +- 0.079707"	"2.325351 +- 0.029293"	"0.791349 +- 0.010386"	"-0.000000 +- 0.001059"	"1.519297 +- 0.014712"	"4.288804 +- 0.161056"	"5.356830 +- 0.265171"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"5.266295 +- 0.482333"	"4.525588 +- 0.316661"	"3.071346 +- 0.067402"	"3.271610 +- 0.079818"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
