""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.357316 +- 0.191718"	"5.356061 +- 0.149840"	"5.355453 +- 0.364767"	"5.350783 +- 0.504257"	"5.344969 +- 0.312165"	"5.329188 +- 0.237729"	"5.318039 +- 0.282302"	"5.280403 +- 0.265622"	"5.201871 +- 0.192389"	"5.044391 +- 0.233248"	"4.861100 +- 0.119642"	"4.887180 +- 0.144692"	"5.127898 +- 0.491957"	"5.315002 +- 0.204620"	"5.357261 +- 0.135708"
"0.1"	""	""	""	"5.256000 +- 0.598395"	"5.204008 +- 0.149012"	"4.959728 +- 0.183376"	"4.919783 +- 0.116125"	"4.806645 +- 0.097987"	"4.660635 +- 0.097448"	"4.509762 +- 0.080844"	"4.327221 +- 0.072262"	"4.205465 +- 0.116255"	"4.334593 +- 0.059617"	"4.404753 +- 0.108252"	"4.331531 +- 0.080277"	"4.512627 +- 0.082636"	"4.767213 +- 0.080979"	"4.730942 +- 0.145743"	"4.692477 +- 0.221670"	"4.641210 +- 0.103377"	"4.597414 +- 0.130670"	"4.571092 +- 0.170278"	"4.565742 +- 0.083234"	"4.550812 +- 0.116684"	"4.497074 +- 0.092166"	"4.485474 +- 0.086867"	"4.445942 +- 0.050889"	"4.391791 +- 0.064713"	"4.446216 +- 0.106502"	"4.522538 +- 0.134265"	"4.854796 +- 0.162791"	"5.296792 +- 0.487306"	""	""
"0.2"	""	""	"5.293855 +- 0.285927"	"3.344681 +- 0.059988"	"3.275089 +- 0.061133"	"3.489039 +- 0.061217"	"3.026682 +- 0.054990"	"2.908694 +- 0.060729"	"3.146238 +- 0.059107"	"3.430288 +- 0.055730"	"3.530475 +- 0.055045"	"3.613350 +- 0.055756"	"3.900819 +- 0.062967"	"4.214570 +- 0.091005"	"4.366026 +- 0.103465"	"4.621998 +- 0.155075"	"4.896334 +- 0.217538"	"4.914569 +- 0.191631"	"4.913888 +- 0.112092"	"4.918405 +- 0.250998"	"4.928434 +- 0.213644"	"4.951735 +- 0.167691"	"4.960023 +- 0.261054"	"4.970950 +- 0.101505"	"4.977530 +- 0.168154"	"5.018077 +- 0.171154"	"5.093773 +- 0.215091"	"5.185732 +- 0.175227"	"5.284351 +- 0.423257"	"5.343081 +- 0.204656"	"5.357252 +- 0.254779"	""	""	""
"0.3"	""	""	"5.294539 +- 0.411000"	"3.069479 +- 0.061735"	"2.748029 +- 0.060780"	"3.110095 +- 0.059023"	"3.407639 +- 0.060322"	"3.637238 +- 0.049425"	"4.028498 +- 0.056327"	"4.171438 +- 0.085373"	"4.482413 +- 0.155814"	"4.811496 +- 0.148029"	"4.962403 +- 0.173862"	"5.141659 +- 0.285109"	"5.209472 +- 0.153786"	"5.265516 +- 0.248868"	"5.301561 +- 0.248709"	"5.302026 +- 0.238145"	"5.288922 +- 0.294100"	"5.289978 +- 0.243892"	"5.299186 +- 0.283913"	"5.302702 +- 0.399734"	"5.293327 +- 0.122960"	"5.297964 +- 0.228094"	"5.302744 +- 0.266659"	"5.320151 +- 0.451945"	"5.346988 +- 0.455342"	"5.354763 +- 0.312457"	""	""	""	""	""	""
"0.4"	""	""	"5.350266 +- 0.307466"	"3.307956 +- 0.069004"	"3.136710 +- 0.069722"	"3.124781 +- 0.074637"	"3.624971 +- 0.077116"	"3.769499 +- 0.067718"	"3.982709 +- 0.066162"	"4.280084 +- 0.057361"	"4.432025 +- 0.121994"	"4.858257 +- 0.119718"	"5.165656 +- 0.182706"	"5.223145 +- 0.434370"	"5.242741 +- 0.230841"	"5.279903 +- 0.352674"	"5.297426 +- 0.410413"	"5.312529 +- 0.392650"	"5.325791 +- 0.194141"	"5.340037 +- 0.544091"	"5.335401 +- 0.328309"	"5.335664 +- 0.398049"	"5.341249 +- 0.350632"	"5.345371 +- 0.279589"	"5.355292 +- 0.435885"	"5.357214 +- 0.471269"	""	""	""	""	""	""	""	""
"0.5"	""	""	""	"4.061358 +- 0.073320"	"3.262886 +- 0.081384"	"3.296023 +- 0.076797"	"3.641658 +- 0.074492"	"3.577422 +- 0.072315"	"3.695249 +- 0.068879"	"3.911491 +- 0.069515"	"4.065570 +- 0.071747"	"4.512721 +- 0.114467"	"4.742752 +- 0.140638"	"4.693020 +- 0.102778"	"4.734544 +- 0.168735"	"4.925365 +- 0.142297"	"5.083583 +- 0.227472"	"5.234564 +- 0.392248"	"5.271123 +- 0.121266"	"5.258294 +- 0.479684"	"5.245103 +- 0.393153"	"5.287583 +- 0.425400"	"5.347554 +- 0.172090"	"5.356571 +- 0.450723"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	""	"4.908607 +- 0.141054"	"4.346632 +- 0.096293"	"4.869362 +- 0.135149"	"4.583217 +- 0.138078"	"4.433783 +- 0.082088"	"4.443562 +- 0.214631"	"4.645724 +- 0.123573"	"4.531827 +- 0.294526"	"4.365557 +- 0.167759"	"4.160698 +- 0.100889"	"4.049568 +- 0.135491"	"4.483932 +- 0.083931"	"4.967444 +- 0.270905"	"5.141952 +- 0.293219"	"5.184309 +- 0.198187"	"5.112808 +- 0.174238"	"5.132499 +- 0.288002"	"5.254600 +- 0.407395"	"5.349513 +- 0.638940"	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"5.352778 +- 0.380097"	"4.878240 +- 0.147596"	"4.567314 +- 0.111185"	"3.587221 +- 0.098662"	"3.518179 +- 0.103453"	"3.806160 +- 0.097438"	"4.150532 +- 0.133760"	"4.599525 +- 0.148913"	"5.090443 +- 0.358225"	"4.618684 +- 0.196265"	"4.302472 +- 0.115775"	"3.743592 +- 0.081278"	"2.352884 +- 0.032089"	"2.508670 +- 0.057944"	"4.111638 +- 0.101302"	"5.161887 +- 0.287692"	"5.318978 +- 0.249547"	"5.357229 +- 0.332613"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	"5.349660 +- 0.253500"	"4.998266 +- 0.152477"	"3.718556 +- 0.100093"	"3.285366 +- 0.101828"	"3.660344 +- 0.108972"	"4.413581 +- 0.156172"	"5.078998 +- 0.482409"	"3.614584 +- 0.091845"	"2.325351 +- 0.026363"	"0.791349 +- 0.006976"	"-0.000000 +- 0.000792"	"1.519297 +- 0.019181"	"4.288804 +- 0.181419"	"5.356830 +- 0.290834"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"5.266295 +- 0.240340"	"4.525588 +- 0.212835"	"3.071346 +- 0.077059"	"3.271610 +- 0.062983"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
